Lines;start_station;destination;;;;;;;
18;Danyang Road;Changyi Road;;;;;;;
18;Changyi Road;Minsheng Road;;;;;;;
18;Minsheng Road;Middle Yanggao Road;;;;;;;
18;Middle Yanggao Road;Yingchun Road;;;;;;;
18;Yingchun Road;Longyang Road;;;;;;;
18;Longyang Road;Fangxin Road;;;;;;;
18;Fangxin Road;Beizhong Road;;;;;;;
18;Beizhong Road;Lianxi Road;;;;;;;
18;Lianxi Road;Yuqiao;;;;;;;
18;Yuqiao;Kangqiao;;;;;;;
18;Kangqiao;Zhoupu;;;;;;;
18;Zhoupu;Fanrong Road;;;;;;;
18;Fanrong Road;Shenmei Road;;;;;;;
18;Shenmei Road;Hetao Road;;;;;;;
18;Hetao Road;Xiasha;;;;;;;
18;Xiasha;Hangtou;;;;;;;
19;Shendu Highway;Sanlu Highway;;;;;;;
19;Sanlu Highway;Minrui Road;;;;;;;
19;Minrui Road;Puhang Road;;;;;;;
19;Puhang Road;Dongchengyi Road;;;;;;;
19;Dongchengyi Road;Huizhen Road;;;;;;;
